,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,num_samples,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
71,42xGVMSeNRGMwNwAAKae4B,0.593,0.805,5,-4.892,1,0.0347,0.0645,0.0,0.226,0.848,103.949,3790836,171.92,0.0,160.97234,-4.892,103.949,0.299,4,0.926,5,0.764,1,0.644
72,5YL4b69ecFCG6bfZIY2lI7,0.616,0.849,0,-4.897,1,0.0373,0.311,0.0,0.311,0.638,113.065,4924206,223.32,0.0,212.90376,-4.897,113.065,0.82,4,0.804,0,0.651,1,0.665
73,0dGt5iXBcHZWMN8N8EmJIP,0.639,0.972,4,-3.993,0,0.073,0.188,3.6e-05,0.254,0.725,129.999,5595996,253.78667,0.0,248.46512,-3.993,129.999,0.9,4,1.0,4,0.431,0,0.356
74,5qJX56Oh2tnM3yVYs9Tz63,0.499,0.85,7,-5.372,1,0.0808,0.00563,0.0,0.226,0.563,156.964,4605804,208.88,0.13941,195.98222,-5.372,156.964,0.725,4,0.938,7,0.527,1,0.655
75,1vms08pCx138Xa2mstygP0,0.62,0.443,5,-7.984,1,0.028,0.355,0.0,0.108,0.339,141.984,4328856,196.32,0.0,184.29678,-7.984,141.984,0.133,4,0.945,5,0.45,1,0.507
76,4UkVEMXCcbKJRHoeGhs3I8,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,4841592,219.57333,3.62812,200.1618,-11.501,138.002,0.048,4,0.306,0,0.673,1,0.652
77,0tDOIR44aeHGLB5gpK1Gfn,0.576,0.582,6,-5.945,1,0.0269,0.325,0.0,0.276,0.436,77.955,4389420,199.06667,0.19787,189.61995,-5.945,77.955,0.031,4,1.0,6,0.659,1,0.592
78,7IWV29mryrqtO0JVgnPtfv,0.598,0.846,6,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,4103652,186.10667,2.81542,178.72398,-4.956,144.04,0.499,4,0.955,6,0.725,1,0.668
79,0jcZ1uIHmvh6Is9T6hXOUk,0.567,0.726,6,-4.705,1,0.0309,0.216,0.0,0.12,0.319,141.92,4205376,190.72,0.20322,180.66286,-4.705,141.92,0.763,4,1.0,6,0.706,1,0.66
80,3PwtBxiuJGVGHFfHjOjTpY,0.52,0.929,7,-4.592,1,0.0451,0.00646,1.56e-06,0.345,0.686,148.147,5894112,267.30667,0.21968,261.57278,-4.592,148.147,0.212,4,0.933,7,0.456,1,0.519
81,3zxAw8PaqpeGZ3Pakkxv3J,0.522,0.659,6,-6.016,1,0.0304,0.307,0.0,0.102,0.355,141.996,4960956,224.98666,0.20313,213.53651,-6.016,141.996,0.705,4,0.984,6,0.985,1,0.778
82,6IBcOGPsniK3Pso1wHIhew,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,5127360,232.53333,0.0,221.51837,-5.195,151.964,0.109,4,0.995,0,0.669,1,0.686
83,6IiCb4PCrDgqLuDWgHhFi7,0.64,0.683,2,-4.309,1,0.0434,0.169,0.0,0.109,0.4,146.058,4106713,186.24548,0.0,174.37605,-4.309,146.058,0.723,4,1.0,2,0.463,1,0.579
84,0KS2h61pHQ4WmOwruD7uxD,0.646,0.696,1,-6.505,1,0.065,0.113,0.0,0.115,0.18,81.336,4926292,223.4146,2.73995,211.34222,-6.505,81.336,0.408,4,1.0,1,0.341,1,0.502
85,6Tsro9u5bnTJxFjuzuNA7R,0.501,0.633,5,-6.56,1,0.0466,0.00358,0.0,0.351,0.463,165.029,2989377,135.57265,0.22676,131.07664,-6.56,165.029,0.118,4,0.965,5,0.653,1,0.559
86,7rMyf6UYF3jHVnceylxecK,0.683,0.62,2,-4.445,0,0.284,0.188,0.0,0.186,0.476,85.9,4325463,196.16612,0.0,189.05687,-4.445,85.9,0.12,4,1.0,2,0.576,0,0.432
87,4qKlW6pVWUqAY2HDYzd4Sm,0.749,0.763,4,-3.861,0,0.124,0.0315,3.57e-06,0.0626,0.142,149.853,3800081,172.33926,0.0,165.79048,-3.861,149.853,0.285,4,0.966,4,0.739,0,0.551
88,02mnSmj2Ck1e3YgA4oL30D,0.512,0.681,0,-4.281,1,0.301,0.266,0.0,0.304,0.386,192.059,3882837,176.09238,0.0,167.98476,-4.281,192.059,0.067,4,0.67,0,0.419,1,0.482
89,0daLEMEakJWhKSqxlrcTJh,0.782,0.743,5,-4.798,1,0.308,0.24,0.0,0.162,0.38,157.06,4417061,200.32024,0.0,197.16644,-4.798,157.06,0.237,4,0.704,5,0.406,1,0.277
90,2pBVqS1JAkOtxgRlS6fh8u,0.718,0.659,8,-4.406,1,0.3,0.145,0.000145,0.118,0.219,170.1,3548752,160.94113,2.63546,157.14685,-4.406,170.1,0.081,4,0.961,8,0.548,1,0.637
